round,alive,chs,cum_delivered,cum_drop,cum_malicious_delay,cum_malicious_drop,cum_timely_rate
1,100,5,72,6,0,0,1.0
2,100,5,124,10,0,0,1.0
3,100,5,180,18,0,0,1.0
4,100,5,222,39,0,13,1.0
5,100,5,277,43,0,13,1.0
6,100,5,339,70,0,34,1.0
7,100,5,386,92,0,54,1.0
8,100,5,461,98,0,54,1.0
9,100,5,527,106,0,54,1.0
10,100,5,572,125,1,71,0.9772727272727273
11,100,5,651,133,2,71,0.9431643625192012
12,100,5,695,161,2,95,0.9467625899280575
13,100,5,756,161,2,95,0.951058201058201
14,100,5,833,161,2,95,0.9555822328931572
15,100,5,912,163,3,95,0.9385964912280702
16,100,5,976,167,3,95,0.9426229508196722
17,100,5,1036,177,3,95,0.9459459459459459
18,100,5,1085,200,3,116,0.9483870967741935
19,100,5,1164,202,3,116,0.9518900343642611
20,100,5,1228,206,3,116,0.9543973941368078
21,100,5,1283,206,3,116,0.9563522992985191
22,100,5,1358,212,3,116,0.9587628865979382
23,100,5,1419,212,3,116,0.9605355884425651
24,100,5,1475,242,3,138,0.9620338983050848
25,100,5,1561,246,3,138,0.9641255605381166
26,100,5,1628,252,3,138,0.9656019656019657
27,100,5,1688,271,3,157,0.966824644549763
28,100,5,1747,275,4,157,0.9639381797366915
29,100,5,1800,275,5,157,0.9611111111111111
30,100,5,1855,298,5,172,0.9622641509433962
31,100,5,1912,325,5,197,0.9633891213389121
32,100,5,1970,329,5,197,0.9644670050761421
33,100,5,2039,333,5,197,0.9656694458067681
34,100,5,2118,333,5,197,0.9669499527856469
35,100,5,2178,348,5,208,0.967860422405877
36,100,5,2236,354,5,208,0.9686940966010733
37,100,5,2303,358,5,208,0.9696048632218845
38,100,5,2373,362,5,208,0.9705014749262537
39,100,5,2441,368,5,208,0.97132322818517
40,100,5,2497,372,5,208,0.9719663596315579
41,100,5,2565,374,5,208,0.9727095516569201
42,100,5,2615,389,5,221,0.9732313575525813
43,100,5,2677,393,5,221,0.9738513261113186
44,100,5,2739,397,5,221,0.9744432274552757
45,100,5,2800,399,5,221,0.975
46,100,5,2866,399,5,221,0.9755757152826239
47,100,5,2938,401,5,221,0.9761742682096665
48,100,5,3000,428,5,248,0.9766666666666667
49,100,5,3059,432,5,248,0.977116704805492
50,100,5,3139,436,5,248,0.9776999044281618
51,100,5,3189,442,5,248,0.97804954531201
52,100,5,3247,444,5,248,0.9784416384354789
53,100,5,3301,448,5,248,0.9787943047561345
54,100,5,3366,448,5,248,0.9792038027332145
55,100,5,3450,456,5,248,0.9797101449275363
56,100,5,3517,462,5,248,0.980096673301109
57,100,5,3582,464,6,248,0.9787828029034059
58,100,5,3658,468,6,248,0.9792236194641881
59,100,5,3717,476,6,248,0.9795534032822169
60,100,5,3783,482,6,248,0.9799101242400211
61,100,5,3838,482,6,248,0.9801980198019802
62,100,5,3912,484,6,248,0.9805725971370143
63,100,5,3981,488,6,248,0.9809093192665159
64,100,5,4057,488,6,248,0.981266946019226
65,100,5,4127,494,6,248,0.9815846862127453
66,100,5,4208,498,6,248,0.9819391634980988
67,100,5,4230,532,6,280,0.9820330969267139
68,100,5,4303,536,6,280,0.9823379037880549
69,100,5,4366,538,7,280,0.9805313788364636
70,100,5,4436,540,7,280,0.9808385933273219
71,100,5,4516,542,7,280,0.9811780336581045
72,100,5,4587,544,7,280,0.9814693699585786
73,100,5,4664,550,7,280,0.9817753001715266
74,100,5,4711,580,7,308,0.9819571216302271
75,100,5,4760,591,7,317,0.9821428571428571
76,100,5,4830,595,7,317,0.9824016563146998
77,100,5,4901,605,7,317,0.982656600693736
78,100,5,4959,611,7,317,0.9828594474692478
79,100,5,5021,640,7,346,0.9830711013742283
80,100,5,5067,685,7,391,0.9832247878429051
81,100,5,5131,689,7,391,0.9834340284544923
82,100,5,5198,689,7,391,0.9836475567525972
83,100,5,5268,693,8,391,0.9808276385725133
84,100,5,5334,701,8,391,0.9810648668916385
85,100,5,5374,714,8,404,0.9812058057312989
86,100,5,5427,716,8,404,0.9813893495485535
87,100,5,5489,720,8,404,0.9815995627618874
88,100,5,5542,724,8,404,0.9817755322988091
89,100,5,5606,728,8,404,0.9819835890117731
90,100,5,5686,734,8,404,0.9822370735138938
91,100,5,5753,736,8,404,0.9824439422909786
92,100,5,5808,749,8,415,0.9826101928374655
93,100,5,5864,749,8,415,0.9827762619372442
94,100,5,5934,749,8,415,0.982979440512302
95,100,5,6001,751,8,415,0.9831694717547076
96,100,5,6078,761,8,415,0.983382691674893
97,100,5,6128,798,8,450,0.9835182767624021
98,100,5,6211,804,8,450,0.9837385284173241
99,100,5,6266,804,8,450,0.9838812639642515
100,100,5,6319,808,8,450,0.984016458300364
101,100,5,6370,853,8,495,0.9841444270015699
102,100,5,6451,855,8,495,0.9843435126337002
103,100,5,6514,861,8,495,0.9844949339883329
104,100,5,6578,863,8,495,0.9846457889936151
105,100,5,6645,865,8,495,0.9848006019563582
106,100,5,6712,871,8,495,0.9849523241954709
107,100,5,6790,875,8,495,0.9851251840942563
108,100,5,6864,883,8,495,0.9852855477855478
109,100,5,6921,885,8,495,0.9854067331310504
110,100,5,6976,915,8,523,0.9855217889908257
111,100,5,7029,917,8,523,0.9856309574619434
112,100,5,7099,919,8,523,0.985772644034371
113,100,5,7179,919,8,523,0.9859311881877699
114,100,5,7239,921,8,523,0.9860477966569968
115,100,5,7317,923,8,523,0.986196528631953
116,100,5,7394,925,8,523,0.9863402758993779
117,100,5,7446,929,8,523,0.9864356701584743
118,100,5,7517,931,8,523,0.9865637887455102
119,100,5,7584,933,8,523,0.9866824894514767
120,100,5,7637,933,8,523,0.9867749116145084
121,100,5,7694,946,8,532,0.9868728879646478
122,100,5,7751,968,8,554,0.9869694233002193
123,100,5,7829,972,8,554,0.9870992463916209
124,100,5,7882,986,8,566,0.9871859934026896
125,100,5,7940,986,8,566,0.9872795969773299
126,100,5,7996,990,8,566,0.9873686843421711
127,100,5,8045,998,8,566,0.9874456183965196
128,100,5,8095,1000,9,566,0.98591723285979
129,100,5,8142,1002,9,566,0.9859985261606485
130,100,5,8196,1012,9,576,0.986090775988287
