round,alive,chs,cum_delivered,cum_drop,cum_malicious_delay,cum_malicious_drop,cum_timely_rate
1,100,8,30,0,0,0,1.0
2,100,8,58,4,0,0,1.0
3,100,8,88,4,0,0,1.0
4,100,8,116,8,0,0,1.0
5,100,8,145,10,0,0,1.0
6,100,8,173,14,0,0,1.0
7,100,8,200,20,0,0,1.0
8,100,8,229,22,0,0,1.0
9,100,8,258,24,0,0,1.0
10,100,8,287,26,0,0,1.0
11,100,8,316,28,0,0,1.0
12,100,8,346,28,0,0,1.0
13,100,8,373,34,0,0,1.0
14,100,8,402,36,0,0,1.0
15,100,8,431,38,0,0,1.0
16,100,8,458,44,0,0,1.0
17,100,8,486,48,0,0,1.0
18,100,8,516,48,0,0,1.0
19,100,8,546,48,0,0,1.0
20,100,8,576,48,0,0,1.0
21,100,8,604,52,0,0,1.0
22,100,8,633,54,0,0,1.0
23,100,8,661,58,0,0,1.0
24,100,8,690,60,0,0,1.0
25,100,8,719,62,0,0,1.0
26,100,8,748,64,0,0,1.0
27,100,8,777,66,0,0,1.0
28,100,8,801,70,0,0,1.0
29,100,8,825,74,0,0,1.0
30,100,8,851,74,0,0,1.0
31,100,8,876,76,0,0,1.0
32,100,8,901,78,0,0,1.0
33,100,8,924,84,0,0,1.0
34,100,8,949,86,0,0,1.0
35,100,8,974,88,0,0,1.0
36,100,8,1000,88,0,0,1.0
37,100,8,1024,92,0,0,1.0
38,100,8,1050,92,0,0,1.0
39,100,8,1075,94,0,0,1.0
40,100,8,1101,94,0,0,1.0
41,100,8,1126,96,0,0,1.0
42,100,8,1152,96,0,0,1.0
43,100,8,1178,96,0,0,1.0
44,100,8,1204,96,0,0,1.0
45,100,8,1228,100,0,0,1.0
46,100,8,1253,102,0,0,1.0
47,100,8,1279,104,0,0,1.0
48,100,8,1305,106,0,0,1.0
49,100,8,1330,110,0,0,1.0
50,100,8,1357,110,0,0,1.0
51,100,8,1384,110,0,0,1.0
52,100,8,1411,110,0,0,1.0
53,100,8,1435,114,0,0,1.0
54,100,8,1464,116,0,0,1.0
55,100,8,1493,118,0,0,1.0
