round,alive,chs,cum_delivered,cum_drop,cum_malicious_delay,cum_malicious_drop,cum_timely_rate
1,100,16,80,8,0,0,1.0
2,100,14,152,23,1,13,0.9013157894736842
3,100,11,229,40,3,20,0.8864628820960698
4,100,9,314,52,3,20,0.9171974522292994
5,100,8,387,74,3,36,0.9328165374677002
6,100,8,448,105,3,59,0.9419642857142857
7,100,8,515,135,4,75,0.9300970873786408
8,100,9,591,153,4,85,0.9390862944162437
9,100,9,666,174,5,94,0.9279279279279279
10,100,9,749,190,5,94,0.9359145527369827
11,100,9,826,206,5,106,0.9418886198547215
12,100,9,903,222,5,114,0.946843853820598
13,100,9,984,235,5,119,0.9512195121951219
14,100,9,1059,268,5,146,0.9546742209631728
15,100,9,1144,278,5,146,0.958041958041958
16,100,9,1212,303,6,165,0.9546204620462047
17,100,9,1300,307,7,165,0.9515384615384616
18,100,9,1386,317,8,165,0.9466089466089466
19,100,9,1463,332,9,176,0.9432672590567327
20,100,9,1519,377,9,213,0.945358788676761
21,100,9,1606,385,9,213,0.9483188044831881
22,100,9,1682,405,9,221,0.950653983353151
23,100,9,1740,444,11,256,0.9436781609195403
24,100,9,1805,477,11,271,0.9457063711911358
25,100,9,1871,507,11,289,0.9476215927311598
26,100,9,1956,519,12,289,0.9422290388548057
27,100,9,2042,525,13,289,0.9431929480901078
28,100,9,2105,559,15,317,0.9311163895486936
29,100,9,2191,565,16,317,0.9310816978548608
30,100,9,2256,611,16,351,0.9330673758865248
31,100,9,2310,659,16,387,0.9346320346320346
32,100,9,2384,683,16,397,0.9366610738255033
33,100,9,2471,689,16,397,0.9388911371914205
34,100,9,2539,716,17,416,0.9346199291059473
35,100,9,2606,740,17,438,0.9363008442056792
36,100,9,2682,759,17,447,0.9381058911260254
37,100,9,2751,786,19,462,0.9302071973827699
38,100,9,2840,790,21,462,0.928169014084507
39,100,9,2927,798,21,462,0.9303040655961735
40,100,9,3001,820,21,472,0.9320226591136288
41,100,9,3057,866,21,514,0.9332679097154073
42,100,9,3136,882,22,522,0.9308035714285714
43,100,9,3198,915,22,545,0.9321450906816761
44,100,9,3258,950,22,570,0.9333947206875384
45,100,9,3326,978,22,586,0.9347564642212868
46,100,9,3393,1026,22,622,0.9360447981137636
47,100,9,3478,1034,22,622,0.937607820586544
48,100,9,3563,1042,23,622,0.9357283188324446
49,100,9,3641,1058,25,632,0.9299642955232079
50,100,9,3730,1062,27,632,0.9249329758713136
51,100,9,3792,1116,27,672,0.9261603375527426
52,100,9,3859,1143,28,691,0.9251101321585903
53,100,9,3931,1166,28,700,0.9264818112439582
54,100,9,4016,1176,30,700,0.9243027888446215
55,100,9,4082,1206,31,718,0.9235668789808917
56,100,9,4138,1260,31,760,0.9246012566457226
57,100,9,4223,1270,31,760,0.9261188728392138
58,100,9,4286,1301,33,783,0.9206719552029865
59,100,9,4348,1345,33,821,0.921803127874885
60,100,9,4433,1351,33,821,0.9233025039476652
61,100,9,4496,1387,33,841,0.9243772241992882
62,100,9,4579,1401,34,841,0.9218169906093033
63,100,9,4651,1422,35,856,0.9208772307030746
64,100,9,4703,1481,35,899,0.9217520731448012
65,100,9,4779,1498,35,910,0.9229964427704541
66,100,9,4846,1556,36,956,0.9230293025175402
67,100,9,4911,1584,36,980,0.9240480553858684
68,100,9,4994,1594,36,980,0.9253103724469364
69,100,9,5053,1629,36,1007,0.9261824658618643
70,100,9,5100,1690,37,1060,0.9256862745098039
71,100,9,5181,1718,37,1080,0.9268480988226211
72,100,9,5259,1733,37,1089,0.9279330671230271
73,100,9,5311,1774,39,1124,0.9258143475804933
74,100,9,5396,1786,40,1124,0.9243884358784284
75,100,9,5479,1790,40,1124,0.9255338565431648
76,100,9,5549,1813,41,1137,0.9248513245629844
77,100,9,5621,1832,41,1154,0.925813912115282
78,100,9,5707,1840,42,1154,0.9262309444541791
79,100,9,5782,1861,44,1163,0.9240747146316154
80,100,9,5867,1873,45,1163,0.9234702573717403
81,100,9,5957,1875,47,1163,0.9214369649152258
82,100,9,6045,1881,48,1163,0.9199338296112489
83,100,9,6123,1922,49,1200,0.9186673199412053
84,100,9,6187,1951,50,1219,0.9190237594957168
85,100,9,6251,1987,51,1245,0.9187330027195648
86,100,9,6329,2004,51,1250,0.919734555221994
87,100,9,6396,2044,51,1284,0.9205753595997499
88,100,9,6471,2066,51,1292,0.9214959048060578
89,100,9,6530,2113,51,1333,0.9222052067381317
90,100,9,6601,2135,52,1349,0.9224359945462809
91,100,9,6663,2165,52,1375,0.9231577367552154
92,100,9,6748,2173,53,1375,0.9224955542382929
93,100,9,6806,2209,53,1401,0.9231560387893035
94,100,9,6892,2217,53,1401,0.9241149158444574
95,100,9,6969,2236,55,1410,0.9223704979193571
96,100,9,7044,2259,56,1427,0.9224872231686542
97,100,9,7112,2286,56,1446,0.9232283464566929
98,100,9,7191,2308,56,1464,0.9240717563621194
99,100,9,7248,2346,56,1492,0.9246688741721855
100,100,9,7315,2378,56,1520,0.9253588516746412
101,100,9,7365,2448,56,1574,0.9258655804480652
102,100,9,7436,2484,57,1600,0.9250941366325982
103,100,9,7519,2500,57,1600,0.9259210001329964
104,100,9,7592,2550,57,1638,0.9266332982086407
105,100,9,7671,2560,59,1648,0.923999478555599
106,100,9,7746,2577,60,1663,0.9234443583785179
107,100,9,7821,2611,61,1689,0.9236670502493287
108,100,9,7906,2621,62,1689,0.9236023273463192
109,100,9,7994,2627,62,1689,0.9244433324993745
110,100,9,8065,2649,63,1701,0.9247365158090515
111,100,9,8135,2673,63,1717,0.9253841425937308
112,100,9,8192,2714,63,1752,0.9259033203125
113,100,9,8277,2724,63,1752,0.926664250332246
114,100,9,8332,2774,63,1798,0.9271483437349975
115,100,9,8415,2790,63,1798,0.9278669043374925
116,100,9,8484,2815,63,1813,0.9284535596416784
117,100,9,8535,2858,63,1850,0.9288810779144698
118,100,9,8617,2870,63,1850,0.9295578507601253
119,100,9,8707,2870,65,1850,0.9286780751119789
120,100,9,8786,2889,67,1855,0.9263601183701343
121,100,9,8861,2911,68,1869,0.9256291614941881
122,100,9,8944,2923,70,1869,0.9244186046511628
123,100,9,9026,2941,71,1869,0.9245512962552626
124,100,9,9101,2962,72,1878,0.9237446434457752
125,100,9,9184,2974,72,1878,0.9244337979094077
126,100,9,9267,2986,74,1878,0.924031509657926
127,100,9,9338,3043,75,1919,0.9240736774469908
128,100,9,9417,3055,75,1927,0.9247106297122226
129,100,9,9478,3096,76,1956,0.9240346064570585
130,100,9,9551,3118,76,1968,0.9246152235368025
131,100,9,9624,3136,76,1978,0.9251870324189526
132,100,9,9696,3169,76,2005,0.9257425742574258
133,100,9,9775,3184,76,2014,0.9263427109974425
134,100,9,9837,3218,76,2038,0.9268069533394327
135,100,9,9885,3260,77,2078,0.9264542235710673
136,100,9,9955,3284,77,2092,0.9269713711702662
137,100,9,10039,3296,78,2092,0.9265863133778265
138,100,9,10111,3328,80,2112,0.9253288497675799
139,100,9,10196,3338,81,2112,0.9250686543742644
140,100,9,10270,3361,82,2123,0.9247322297955209
141,100,9,10348,3407,83,2163,0.9247197526091998
142,100,9,10436,3411,85,2163,0.923246454580299
143,100,9,10507,3446,85,2192,0.9237651089749691
144,100,9,10573,3473,85,2215,0.9242409912040103
145,100,9,10655,3482,86,2222,0.923791647114031
146,100,9,10730,3500,86,2236,0.9243243243243243
147,100,9,10796,3530,87,2254,0.9238606891441274
148,100,9,10872,3547,88,2263,0.9234731420161884
149,100,9,10956,3557,88,2263,0.9240598758671048
150,100,9,11013,3606,89,2304,0.9232724961409243
151,100,9,11078,3643,89,2331,0.9237226936270085
152,100,9,11163,3655,90,2331,0.9232285227985308
153,100,9,11222,3722,92,2394,0.920958830867938
154,100,9,11306,3734,92,2394,0.9215460817265169
155,100,9,11382,3751,92,2403,0.9220699349850642
156,100,9,11454,3772,92,2412,0.9225598044351319
157,100,9,11509,3810,93,2442,0.9223216613085411
158,100,9,11594,3820,93,2442,0.9228911505951354
159,100,9,11660,3858,96,2472,0.9211835334476844
160,100,9,11739,3874,98,2480,0.9195842916773149
161,100,9,11815,3893,98,2491,0.9201015658061786
162,100,9,11886,3914,98,2504,0.9205788322396097
163,100,9,11949,3955,99,2533,0.9201606829023349
164,100,9,12031,3995,99,2565,0.920704845814978
165,100,9,12100,4024,100,2578,0.9206611570247933
166,100,9,12163,4053,100,2601,0.9210721039217299
167,100,9,12234,4099,100,2627,0.9215301618440412
168,100,9,12313,4116,101,2632,0.9208153983594575
169,100,9,12373,4152,101,2658,0.9211993857593146
170,100,9,12435,4197,101,2699,0.9215922798552473
