round,alive,chs,cum_delivered,cum_drop,cum_malicious_delay,cum_malicious_drop,cum_timely_rate
1,100,15,73,33,1,17,0.958904109589041
2,100,15,101,93,2,67,0.9603960396039604
3,100,15,155,129,3,83,0.9354838709677419
4,100,13,213,156,5,102,0.9061032863849765
5,100,7,242,201,5,131,0.9173553719008265
6,100,6,286,216,5,138,0.9300699300699301
7,100,11,350,261,6,159,0.92
8,100,8,391,302,7,184,0.9028132992327366
9,100,12,447,330,8,194,0.9038031319910514
10,100,7,493,355,8,209,0.9127789046653144
11,100,10,547,395,8,235,0.9213893967093236
12,100,9,595,430,9,252,0.9159663865546218
13,100,7,643,446,10,254,0.9191290824261276
14,100,7,704,470,11,258,0.90625
15,100,11,773,494,12,264,0.908150064683053
16,100,7,809,550,14,310,0.8838071693448702
17,100,10,877,565,14,317,0.8928164196123147
18,100,9,912,622,14,352,0.8969298245614035
19,100,7,948,679,14,389,0.9008438818565401
20,100,8,1014,739,15,437,0.903353057199211
21,100,6,1041,795,15,475,0.9058597502401537
22,100,9,1084,835,16,497,0.9068265682656826
23,100,7,1162,859,16,497,0.9130808950086059
24,100,7,1228,883,18,509,0.8949511400651465
25,100,10,1261,922,19,540,0.8921490880253767
26,100,12,1319,955,20,561,0.8938589840788476
27,100,10,1386,983,21,567,0.8961038961038961
28,100,9,1428,1029,21,597,0.8991596638655462
29,100,7,1452,1068,22,612,0.8966942148760331
30,100,9,1519,1098,22,620,0.9012508229098091
31,100,12,1598,1112,24,620,0.8942428035043805
32,100,12,1649,1157,25,649,0.8944815039417829
33,100,7,1697,1202,25,680,0.8974661166764879
34,100,7,1757,1225,26,685,0.8952760387023335
35,100,8,1796,1263,28,715,0.8864142538975501
36,100,7,1854,1286,28,732,0.889967637540453
37,100,10,1907,1332,30,770,0.8867330886208705
38,100,9,1975,1346,32,774,0.8784810126582279
39,100,15,2021,1391,32,801,0.8812469074715488
40,100,5,2061,1424,33,826,0.8753032508491024
41,100,8,2111,1448,35,836,0.8702036949313122
42,100,8,2170,1471,37,847,0.8663594470046083
43,100,11,2221,1523,37,883,0.8694281855020262
44,100,7,2275,1555,38,893,0.8720879120879121
45,100,13,2340,1602,41,922,0.8688034188034188
46,100,11,2372,1677,41,977,0.8705733558178752
47,100,7,2425,1715,41,995,0.8734020618556702
48,100,13,2479,1757,42,1015,0.8745461879790238
49,100,7,2542,1778,42,1018,0.8776553894571204
50,100,7,2610,1796,42,1018,0.8808429118773946
51,100,8,2673,1820,42,1024,0.8836513280957725
52,100,14,2738,1846,45,1036,0.8794740686632578
53,100,8,2800,1870,46,1036,0.8821428571428571
54,100,7,2826,1922,46,1076,0.8832271762208068
55,100,7,2878,1944,48,1086,0.8763029881862404
56,100,8,2940,1974,49,1096,0.8741496598639455
57,100,9,3017,1992,50,1096,0.8763672522373218
58,100,10,3077,2014,50,1108,0.8787780305492363
59,100,12,3109,2067,51,1149,0.8790607912512062
60,100,7,3169,2081,51,1149,0.8813505837803723
61,100,10,3219,2103,53,1163,0.8791550170860516
62,100,7,3272,2117,55,1163,0.8734718826405868
63,100,7,3313,2157,55,1193,0.875037730153939
64,100,7,3373,2202,55,1224,0.8772605988734065
65,100,13,3410,2257,56,1263,0.8777126099706745
66,100,8,3474,2277,58,1263,0.8747841105354058
67,100,7,3529,2317,58,1285,0.8767356191555682
68,100,7,3577,2337,59,1301,0.8755940732457367
69,100,11,3658,2351,62,1301,0.8731547293603061
70,100,7,3731,2373,63,1301,0.8732243366389708
71,100,7,3773,2415,64,1321,0.8730453220249139
72,100,7,3788,2498,64,1388,0.8735480464625132
73,100,7,3822,2522,65,1400,0.8723181580324437
74,100,6,3835,2569,66,1435,0.8704041720990874
75,100,10,3891,2605,68,1447,0.8671292726805448
76,100,7,3943,2626,68,1458,0.8688815622622369
77,100,9,3985,2664,68,1480,0.8702634880803012
78,100,7,4023,2717,70,1507,0.8672632363907532
79,100,11,4090,2753,71,1531,0.8667481662591687
80,100,10,4129,2793,72,1559,0.8667958343424558
81,100,12,4170,2845,72,1595,0.86810551558753
82,100,7,4224,2884,74,1620,0.8645833333333334
83,100,8,4259,2910,75,1640,0.8649917821084762
84,100,7,4294,2937,76,1661,0.8623660922217047
85,100,7,4345,2968,76,1680,0.8639815880322209
86,100,10,4397,3014,78,1698,0.8612690470775529
87,100,11,4461,3044,80,1700,0.8569827392961219
88,100,10,4504,3075,81,1725,0.8561278863232682
89,100,7,4556,3094,81,1732,0.8577699736611062
90,100,7,4579,3136,82,1764,0.8571740554706268
91,100,12,4634,3172,84,1782,0.8567112645662495
92,100,7,4687,3207,85,1801,0.8559846383614252
93,100,8,4761,3213,86,1801,0.856542743121193
94,100,7,4811,3253,86,1829,0.8580336728330908
95,100,7,4843,3307,86,1869,0.858971711748916
96,100,8,4895,3344,86,1894,0.8604698672114403
97,100,12,4964,3368,88,1894,0.8589846897663175
98,100,11,4999,3415,89,1923,0.8597719543908782
99,100,12,5066,3445,91,1935,0.8582708251085669
100,100,10,5121,3484,91,1954,0.8597930091778949
101,100,7,5184,3498,92,1954,0.8603395061728395
102,100,10,5226,3544,92,1990,0.8614619211634137
103,100,7,5256,3548,92,1990,0.8622526636225266
104,100,6,5275,3587,94,2015,0.8606635071090047
105,100,11,5327,3616,94,2030,0.8620236530880421
106,100,7,5381,3645,95,2043,0.8626649321687418
107,100,6,5437,3667,96,2051,0.8605848813684017
108,100,10,5482,3706,97,2080,0.8606348048157607
109,100,7,5542,3736,97,2090,0.8621436304583183
110,100,7,5565,3791,97,2119,0.8627133872416891
111,100,7,5614,3822,98,2130,0.8630210188813681
112,100,7,5657,3856,98,2152,0.8640622237935301
113,100,11,5722,3887,100,2167,0.8638587906326459
114,100,7,5785,3928,100,2198,0.8653414001728609
115,100,10,5836,3972,101,2224,0.8646333104866347
116,100,7,5875,4021,101,2253,0.865531914893617
117,100,7,5916,4062,101,2282,0.8664638269100744
118,100,7,5952,4097,101,2309,0.8672715053763441
119,100,7,5996,4126,104,2322,0.8635757171447632
120,100,11,6039,4184,105,2364,0.8638847491306507
121,100,9,6102,4202,105,2370,0.8652900688298918
122,100,12,6147,4227,105,2379,0.8662762323084432
123,100,9,6169,4254,106,2396,0.8662668179607717
124,100,7,6213,4310,107,2426,0.8649605665539997
125,100,11,6283,4326,108,2430,0.8658284259111889
126,100,6,6355,4338,110,2430,0.8618410700236034
127,100,14,6409,4376,113,2458,0.8609767514432829
128,100,9,6481,4416,113,2486,0.8625212158617497
129,100,10,6540,4459,113,2505,0.8637614678899083
130,100,13,6574,4515,113,2549,0.8644660784910253
131,100,11,6639,4555,114,2573,0.865190540744088
132,100,7,6689,4568,114,2580,0.8661982359097025
133,100,9,6740,4625,115,2617,0.865727002967359
134,100,7,6770,4682,116,2662,0.8642540620384047
135,100,9,6805,4720,117,2688,0.8643644379132991
136,100,8,6866,4741,117,2695,0.865569472764346
137,100,6,6920,4753,118,2697,0.8650289017341041
138,100,7,6994,4773,120,2697,0.8637403488704604
139,100,8,7046,4805,121,2717,0.8643201816633551
140,100,11,7111,4847,122,2743,0.8649978905920405
141,100,7,7169,4890,122,2770,0.8660901101966801
142,100,6,7235,4910,122,2770,0.8673116793365584
143,100,9,7286,4937,123,2783,0.8667307164424924
144,100,7,7319,4987,123,2823,0.8673316026779615
145,100,11,7352,5048,124,2870,0.8671109902067464
146,100,9,7420,5071,124,2883,0.8683288409703505
147,100,7,7480,5109,124,2897,0.8693850267379679
148,100,7,7536,5129,124,2897,0.870355626326964
149,100,10,7597,5153,126,2905,0.8692905094116098
150,100,13,7657,5186,128,2920,0.8682251534543555
151,100,13,7700,5247,129,2965,0.8671428571428571
152,100,7,7747,5286,129,2990,0.8679488834387504
153,100,7,7801,5314,129,3002,0.8688629662863735
154,100,7,7818,5378,129,3052,0.8691481197237145
155,100,7,7884,5394,132,3052,0.8660578386605784
156,100,13,7934,5432,135,3066,0.8655155028989161
157,100,10,7989,5467,138,3087,0.8640630867442733
158,100,7,8049,5481,139,3089,0.8627158653248851
159,100,6,8103,5505,139,3101,0.863630754041713
160,100,11,8156,5550,142,3128,0.8612064737616478
161,100,10,8207,5597,143,3165,0.861094187888388
162,100,6,8247,5599,144,3165,0.8616466593912938
163,100,8,8289,5646,145,3206,0.8605380624924599
164,100,8,8360,5658,145,3206,0.8617224880382776
165,100,11,8427,5682,150,3206,0.8578379019817254
166,100,10,8493,5690,152,3206,0.8570587542682209
167,100,8,8575,5706,152,3206,0.8584256559766764
168,100,6,8617,5741,152,3233,0.8591157015202506
169,100,6,8633,5788,152,3268,0.8593768099154407
170,100,10,8716,5802,152,3268,0.8607159247361175
171,100,7,8745,5878,152,3322,0.861177815894797
172,100,10,8810,5900,153,3326,0.8617480136208854
