round,alive,chs,cum_delivered,cum_drop,cum_malicious_delay,cum_malicious_drop,cum_timely_rate
1,100,24,60,30,7,18,0.65
2,100,20,109,76,8,54,0.7614678899082569
3,100,12,165,120,8,82,0.8424242424242424
4,100,10,236,153,9,93,0.8559322033898306
5,100,9,287,198,9,124,0.8815331010452961
6,100,9,348,218,10,124,0.8649425287356322
7,100,10,418,243,10,133,0.8875598086124402
8,100,10,481,282,12,152,0.8877338877338877
9,100,9,555,307,12,159,0.9027027027027027
10,100,12,616,353,14,187,0.8912337662337663
11,100,9,677,385,14,213,0.9010339734121122
12,100,10,732,422,15,232,0.8961748633879781
13,100,9,792,451,15,245,0.9040404040404041
14,100,8,853,473,16,245,0.9073856975381008
15,100,11,924,498,16,258,0.9145021645021645
16,100,8,983,525,16,277,0.9196337741607324
17,100,10,1039,572,16,286,0.9239653512993262
18,100,9,1093,601,17,291,0.9240622140896615
19,100,8,1171,611,17,291,0.9291204099060631
20,100,8,1230,650,17,308,0.932520325203252
21,100,8,1291,680,18,314,0.9279628195197521
22,100,8,1359,705,19,327,0.9249448123620309
23,100,7,1423,747,19,345,0.9283204497540407
24,100,8,1484,763,19,345,0.931266846361186
25,100,8,1557,773,19,345,0.9344894026974951
26,100,7,1622,785,19,345,0.93711467324291
27,100,9,1691,813,20,349,0.9314015375517445
28,100,8,1759,831,21,349,0.9306424104604889
29,100,7,1807,839,22,349,0.9286109573879358
30,100,7,1875,849,22,349,0.9312
31,100,9,1943,869,22,349,0.9336078229541945
32,100,8,2022,891,22,349,0.9362017804154302
33,100,7,2063,905,22,349,0.9374697043141057
34,100,7,2125,929,22,357,0.9392941176470588
35,100,7,2176,939,22,357,0.9407169117647058
36,100,7,2241,947,22,357,0.9424364123159303
37,100,9,2314,965,22,357,0.9442523768366465
38,100,7,2383,975,22,357,0.9458665547629039
39,100,7,2430,997,22,357,0.9469135802469136
40,100,7,2484,1015,22,357,0.9480676328502415
41,100,10,2561,1037,22,357,0.9496290511518938
42,100,7,2617,1051,22,363,0.9507069163163928
43,100,8,2689,1063,22,363,0.952026775753068
44,100,7,2739,1073,22,363,0.9529025191675794
45,100,7,2785,1085,22,363,0.9536804308797128
46,100,7,2862,1111,22,363,0.9549266247379455
47,100,13,2938,1131,22,363,0.9560925799863853
48,100,7,3003,1159,22,363,0.957042957042957
49,100,10,3080,1171,22,363,0.9581168831168831
50,100,7,3135,1197,22,363,0.9588516746411483
51,100,7,3200,1211,22,363,0.9596875
52,100,7,3256,1223,22,363,0.9603808353808354
53,100,7,3325,1237,22,363,0.961203007518797
54,100,7,3403,1253,22,363,0.9620922715251249
55,100,8,3462,1285,22,373,0.962738301559792
56,100,8,3523,1295,22,373,0.963383479988646
57,100,7,3578,1313,22,373,0.9639463387367244
58,100,7,3651,1331,22,373,0.9646672144617913
59,100,7,3704,1339,22,373,0.9651727861771058
60,100,7,3782,1363,22,373,0.9658910629296669
61,100,7,3849,1375,22,373,0.9664848012470771
62,100,7,3922,1387,22,373,0.9671086180520143
63,100,7,4007,1397,22,373,0.9678063389069129
64,100,7,4070,1417,22,373,0.9683046683046683
65,100,7,4133,1431,22,373,0.9687878054681829
66,100,7,4212,1439,22,373,0.9693732193732194
67,100,7,4268,1449,22,373,0.9697750702905342
68,100,7,4342,1465,22,373,0.9702901888530631
69,100,7,4418,1477,22,373,0.9708012675418741
70,100,7,4483,1493,22,373,0.9712246263662726
71,100,7,4516,1503,22,373,0.9714348981399469
72,100,7,4585,1523,22,373,0.9718647764449291
73,100,7,4656,1539,22,373,0.9722938144329897
74,100,8,4727,1561,22,373,0.9727099640363868
75,100,7,4788,1577,22,373,0.9730576441102757
76,100,10,4869,1591,22,373,0.973505853357979
77,100,7,4940,1605,22,373,0.9738866396761133
