algo,ratio,pdr_mean,pdr_std,pdr_n,timely_overall_mean,timely_overall_std,timely_overall_n,bits_per_joule_mean,bits_per_joule_std,bits_per_joule_n,overhead_ratio_mean,overhead_ratio_std,overhead_ratio_n,FND_mean,FND_std,FND_n,HND_mean,HND_std,HND_n,LND_mean,LND_std,LND_n,pdr_ci95,pdr_cv,timely_overall_ci95,timely_overall_cv,bits_per_joule_ci95,bits_per_joule_cv,overhead_ratio_ci95,overhead_ratio_cv,FND_ci95,FND_cv,HND_ci95,HND_cv,LND_ci95,LND_cv,pdr_rel_impr_%,bpj_rel_impr_%,overhead_rel_red_%
ACTAR-2024,0.1,0.9183776216906527,,1,0.893069404194705,,1,1496.7008280184737,,1,0.11617283290323444,,1,786.0,,1,892.0,,1,5648.0,,1,,,,,,,,,,,,,,,0.13318929651839895,-2.051422855692031,1.8468283014005937
ACTAR-2024,0.2,0.8254915688671073,,1,0.7720805496552787,,1,1391.8357709508741,,1,0.13067778336807304,,1,798.0,,1,941.0,,1,6678.0,,1,,,,,,,,,,,,,,,0.1885158981638435,-1.3845900900146701,1.1163971198447364
ACTAR-2024,0.3,0.7408931477957864,,1,0.6568281332385778,,1,1293.3009377422782,,1,0.14465940560360166,,1,847.0,,1,972.0,,1,5853.0,,1,,,,,,,,,,,,,,,-0.4148619558871136,-3.009846297916352,1.0702914024331212
ACTAR-2024,0.4,0.6727820702504247,,1,0.5677132993588689,,1,1228.3603003400374,,1,0.15837785886492473,,1,857.0,,1,974.0,,1,5643.0,,1,,,,,,,,,,,,,,,1.1640147624413677,-0.4025841989169443,2.9533694143779154
ACTAR-2024,0.5,0.5906326929955604,,1,0.4629052959370463,,1,1123.3436795530095,,1,0.1799713227173952,,1,887.0,,1,1004.0,,1,5594.0,,1,,,,,,,,,,,,,,,-0.16630117254098353,-2.9554930414402825,0.8312012575354855
DST-WOA-2024,0.1,0.9094688221709007,,1,0.8897495114585184,,1,1536.5165494551009,,1,0.11672266281204828,,1,777.0,,1,1516.0,,1,5199.0,,1,,,,,,,,,,,,,,,-0.8381611454423399,0.5542369994274043,1.3822829503391865
DST-WOA-2024,0.2,0.8379700115340254,,1,0.7964705882352942,,1,1454.7877264962824,,1,0.12838944557617132,,1,701.0,,1,1412.0,,1,7562.0,,1,,,,,,,,,,,,,,,1.70300338497682,3.0757298919214193,2.847977497457299
DST-WOA-2024,0.3,0.7587259412158676,,1,0.6963954369283808,,1,1382.7361367776107,,1,0.1404708844639963,,1,781.0,,1,1454.0,,1,6359.0,,1,,,,,,,,,,,,,,,1.9820844860314102,3.697280750144216,3.9347382323293267
DST-WOA-2024,0.4,0.6843437763724071,,1,0.6034736041508215,,1,1314.2810046656753,,1,0.15449652883502832,,1,828.0,,1,1604.0,,1,5537.0,,1,,,,,,,,,,,,,,,2.9025102731315755,6.564003790188178,5.3316690346138955
DST-WOA-2024,0.5,0.6159177196119001,,1,0.5060665715835359,,1,1226.9274972080802,,1,0.17200026091777826,,1,772.0,,1,1668.0,,1,6631.0,,1,,,,,,,,,,,,,,,4.107586409362507,5.993006599579287,5.223460043182304
SHEER-2025,0.1,0.9171560679757401,,1,0.893496667267159,,1,1528.0475445941183,,1,0.11835871515183259,,1,1267.0,,1,1277.0,,1,7233.0,,1,,,,,,,,,,,,,,,0.0,0.0,0.0
SHEER-2025,0.2,0.8239383141538641,,1,0.765955955371225,,1,1411.3775648464282,,1,0.13215313718539526,,1,1292.0,,1,1304.0,,1,7309.0,,1,,,,,,,,,,,,,,,0.0,0.0,0.0
SHEER-2025,0.3,0.7439796362662022,,1,0.6611738174185842,,1,1333.4352904675252,,1,0.146224433139753,,1,1298.0,,1,1314.0,,1,8333.0,,1,,,,,,,,,,,,,,,0.0,0.0,0.0
SHEER-2025,0.4,0.6650408960441979,,1,0.5599736711483263,,1,1233.3254738188496,,1,0.16319768951194186,,1,1341.0,,1,1356.0,,1,8422.0,,1,,,,,,,,,,,,,,,0.0,0.0,0.0
SHEER-2025,0.5,0.5916165582689082,,1,0.45483085859205624,,1,1157.555141202071,,1,0.18147978497225728,,1,1374.0,,1,1391.0,,1,7394.0,,1,,,,,,,,,,,,,,,0.0,0.0,0.0
TFSM-DPC-2024,0.1,0.9086602458695482,,1,0.8840471902487407,,1,1399.8953508624268,,1,0.11878366151062088,,1,668.0,,1,1060.0,,1,4717.0,,1,,,,,,,,,,,,,,,-0.926322400607682,-8.38666271773183,-0.3590325885534984
TFSM-DPC-2024,0.2,0.8258904538341159,,1,0.7763129890453835,,1,1320.9563123897542,,1,0.1316752061605627,,1,686.0,,1,1079.0,,1,6537.0,,1,,,,,,,,,,,,,,,0.23692789213916043,-6.406595563711736,0.3616493978210178
TFSM-DPC-2024,0.3,0.7518120106966107,,1,0.6785087666227025,,1,1245.1709686383483,,1,0.1444296014935943,,1,715.0,,1,1114.0,,1,6911.0,,1,,,,,,,,,,,,,,,1.052767313594316,-6.619317972170203,1.2274498916629795
TFSM-DPC-2024,0.4,0.6700154821503238,,1,0.5707376058041113,,1,1186.449572440047,,1,0.1594224898379126,,1,741.0,,1,1220.0,,1,4975.0,,1,,,,,,,,,,,,,,,0.7480120599673956,-3.800772981170719,2.3132678442442045
TFSM-DPC-2024,0.5,0.5985282874617737,,1,0.4795276928304451,,1,1130.8274158857657,,1,0.17783100040804017,,1,811.0,,1,1361.0,,1,5656.0,,1,,,,,,,,,,,,,,,1.1682785236926785,-2.308980744411848,2.010573554941608
TRAIL (ours),0.1,0.9367499968387644,,1,0.9279238268654452,,1,1482.534571422803,,1,0.11822532093249281,,1,856.0,,1,984.0,,1,7870.0,,1,,,,,,,,,,,,,,,2.1363789159973834,-2.9785050427475035,0.11270333508491825
TRAIL (ours),0.2,0.8496954875726009,,1,0.8187974698426882,,1,1446.1453473958632,,1,0.12932406254324064,,1,827.0,,1,988.0,,1,8344.0,,1,,,,,,,,,,,,,,,3.1261045852914338,2.463393454409779,2.1407548109779406
TRAIL (ours),0.3,0.767912396585398,,1,0.7138295771247998,,1,1400.441224335231,,1,0.1409531906381276,,1,789.0,,1,1022.0,,1,7701.0,,1,,,,,,,,,,,,,,,3.2168569074426223,5.025060784480395,3.604898571627513
