algo_tag,algo,FND,HND,LND,drop_p,total_p,pdr,drop_rate,timely_transfer_rate,energy_rate,energy_per_delivered,throughput_bits_per_round,avg_ch_per_round,avg_cluster_size,avg_hops_to_bs,malicious_delay,malicious_drop,blacklisted_malicious,blacklisted_normal,false_blacklist_events,control_overhead_bits,rounds_run,seed,ratio
SHEER-2025,SHEER-2025,1403,1416,6010,8224,90581,0.9092083328733399,0.09079166712666009,0.9707978678193717,0.9364147397452735,0.0006067765063928694,54813.31114808652,2.4179700499168053,3.157410664765075,1.0,1533,5243,3,0,0,18116200,6010,42,0.1
ACTAR-2024,ACTAR-2024,843,977,5667,7273,86811,0.9162202946631187,0.08377970533688128,0.9724408458849858,0.9422278087509225,0.0006283283879156232,56141.168166578434,2.285689077113111,3.0533552711821637,1.653700118182504,1567,5331,5,0,0,17362200,5667,42,0.1
TFSM-DPC-2024,TFSM-DPC-2024,705,1102,6337,6398,80965,0.9209782004569876,0.07902179954301236,0.9781136427642254,0.9540685766213024,0.0006661392566786093,47067.697648729685,2.2202935142812055,3.1177501212014884,1.824842088323253,1539,4070,7,0,0,16198000,6337,42,0.1
DST-WOA-2024,DST-WOA-2024,763,1508,6254,7248,89410,0.918935242142937,0.08106475785706302,0.9840924028139529,0.9592195770965123,0.0006082882890569527,52550.047969299645,1.959705788295491,4.789140283551858,1.4106642973637449,1129,3750,9,0,0,17883200,6254,42,0.1
TRAIL (ours),TRAIL (ours),932,1071,8495,5231,85756,0.9390013526750315,0.060998647324968513,0.9903011487115803,0.9749901762838354,0.000620414945049009,37916.421424367276,2.174573278399058,2.3519395634107356,1.2590127289661597,2236,1619,10,0,0,17155200,8495,42,0.1
SHEER-2025,SHEER-2025,1379,1393,10266,14474,91395,0.8416324744242026,0.15836752557579736,0.9441634924142952,0.8984382651679321,0.0006495448031608532,29971.166958893435,1.7713812585232807,2.639545007560787,1.0,2916,8174,17,0,0,18279000,10266,42,0.2
ACTAR-2024,ACTAR-2024,807,974,8412,14134,88464,0.8402287936335685,0.1597712063664315,0.9413157540696893,0.8931159498012073,0.0006723072068531158,35344.74560152164,1.8209700427960056,2.692826106832885,1.6441409928696353,2376,10086,12,0,0,17693800,8412,42,0.2
TFSM-DPC-2024,TFSM-DPC-2024,671,1162,5336,14607,85512,0.8291818692113387,0.17081813078866126,0.9443903814963683,0.8955475965417508,0.0007008093747369373,53152.17391304348,2.3630059970014994,4.55174245311873,1.7800719272265708,1298,9145,19,0,0,17111200,5336,42,0.2
DST-WOA-2024,DST-WOA-2024,821,1475,7680,14081,91628,0.8463242676910988,0.1536757323089012,0.9522225231150141,0.9109760767715334,0.0006444755780598953,40389.0625,1.762109375,4.293695746527773,1.4097128193224755,1726,8748,13,0,0,18337000,7680,42,0.2
TRAIL (ours),TRAIL (ours),909,1084,8570,13169,90833,0.8550196514482622,0.1449803485517378,0.9643592913061393,0.9301071931370278,0.0006434021889711775,36249.24154025671,2.018669778296383,3.346662423126219,1.2364673465183353,2243,5260,20,0,0,18168000,8570,42,0.2
SHEER-2025,SHEER-2025,1370,1384,10414,22520,94081,0.7606317960055696,0.23936820399443037,0.913318707117005,0.8393241412287287,0.0006982343684012674,27486.460533896676,1.7267140387939313,2.9710769385534124,1.0,3060,13159,22,0,0,18816200,10414,42,0.3
ACTAR-2024,ACTAR-2024,835,997,6722,22255,91915,0.7578741228308764,0.2421258771691236,0.9035314384151594,0.8291873852886753,0.000717329520836606,41451.94882475454,1.9943469205593574,3.595441053541323,1.6377978753947746,2132,16499,19,0,0,18384000,6722,42,0.3
TFSM-DPC-2024,TFSM-DPC-2024,776,1185,5351,21255,87593,0.7573436233488977,0.2426563766511023,0.9101872230094366,0.8374757925012494,0.0007514729114514263,49589.235656886565,2.375256961315642,4.731746941728034,1.7616449094033586,1482,15296,21,0,0,17522800,5351,42,0.3
DST-WOA-2024,DST-WOA-2024,783,1726,5310,22698,96192,0.7640344311377245,0.2359655688622755,0.916863961683947,0.8541998463097175,0.0006800347362728927,55362.71186440678,2.0787193973634652,6.52951349654739,1.3989169183878956,1242,14089,20,0,0,19247800,5310,42,0.3
TRAIL (ours),TRAIL (ours),897,1077,7614,21548,96175,0.7759500909799844,0.22404990902001565,0.9394857089257239,0.8800031746446215,0.0006696847364488597,39205.14841082217,1.9912004202784344,4.926015558335472,1.1955190480657134,1969,9515,30,0,0,19244400,7614,42,0.3
SHEER-2025,SHEER-2025,1406,1423,9008,30522,96836,0.6848073030691065,0.31519269693089347,0.8587176161896433,0.7734344762406759,0.0007534745614193441,29446.71403197158,1.85446269982238,3.3633152805971416,1.0,2979,18959,28,0,0,19367200,9008,42,0.4
ACTAR-2024,ACTAR-2024,883,1027,6126,29594,94698,0.6874907601005301,0.3125092398994699,0.8630345293683952,0.7754242123408226,0.000767659742912912,42509.957557949725,2.050930460333007,4.36279082332584,1.6232643155566477,2133,21801,25,0,0,18939600,6126,42,0.4
TFSM-DPC-2024,TFSM-DPC-2024,738,1296,4936,28452,91836,0.690186854828172,0.309813145171828,0.8714186545500442,0.7874011530813259,0.0007883281453523922,51364.667747163694,2.413290113452188,6.022803731275423,1.7250883503723338,1635,19530,31,0,0,18373400,4936,42,0.4
DST-WOA-2024,DST-WOA-2024,847,1594,4570,29497,98516,0.7005867067278412,0.2994132932721588,0.8761355568756429,0.8058081908099988,0.0007240575346271834,60410.50328227571,2.263457330415755,7.710853391684888,1.4312290818470277,1285,18826,31,0,0,19704600,4570,42,0.4
TRAIL (ours),TRAIL (ours),895,1095,7831,29127,100553,0.7103318647877239,0.2896681352122761,0.9065326351748663,0.8344056177706416,0.0006995985769737996,36483.718554463034,1.8163708338654068,6.019054992596048,1.1602217679836475,2026,13469,40,0,0,20110600,7831,42,0.4
SHEER-2025,SHEER-2025,1415,1429,7361,38390,100455,0.6178388333084466,0.3821611666915534,0.8056875855957464,0.7233784680570281,0.000805175952942443,33726.39587012634,1.965493818774623,4.795758857815646,1.0,2616,23276,32,0,0,20099600,7361,42,0.5
ACTAR-2024,ACTAR-2024,919,1068,5046,37500,98235,0.6182623301267369,0.3817376698732631,0.8034741088334568,0.719705366805426,0.0008227925689937699,48145.06539833532,2.2540626238604835,5.642690980354477,1.6285996542356138,1996,27844,30,0,0,19647000,5046,42,0.5
TFSM-DPC-2024,TFSM-DPC-2024,761,1302,4973,35766,94820,0.6228010968150179,0.37719890318498206,0.8202831306939411,0.7333718690652395,0.0008462502827219091,47499.698371204504,2.3446611703197267,6.69912710705743,1.6813425000846682,1797,24358,33,0,0,18964800,4973,42,0.5
DST-WOA-2024,DST-WOA-2024,840,1676,4507,38214,101367,0.6230134067300009,0.37698659326999906,0.8294617832882049,0.7362389423831739,0.0007913369004134003,56048.81295762148,2.2422897714666075,8.359122845943354,1.4053964182224123,1404,25503,33,0,0,20273400,4507,42,0.5
TRAIL (ours),TRAIL (ours),857,1081,7268,38162,106052,0.6401576585071475,0.35984234149285255,0.8648696420680513,0.7792829516491473,0.0007360598257866227,37363.78646119978,1.717116125481563,8.091945367579184,1.1390337310354985,1866,18627,50,0,0,21212400,7268,42,0.5
