algo_tag,algo,FND,HND,LND,func_life_pdr85,drop_p,total_p,pdr,drop_rate,timely_transfer_rate,energy_rate,energy_per_delivered,throughput_bits_per_round,avg_ch_per_round,avg_cluster_size,avg_hops_to_bs,malicious_delay,malicious_drop,blacklisted_malicious,blacklisted_normal,false_blacklist_events,control_overhead_bits,rounds_run,seed
SHEER-2025,SHEER-2025,1365,1379,8144,1384,6674,89196,0.9251760168617427,0.07482398313825733,0.9804900511378783,0.956673780380447,0.000605529788353517,40531.43418467583,2.0234528487229864,2.6889981815417725,1.0,2087,3268,10,0,0,17839200,8144,42
ACTAR-2024,ACTAR-2024,822,973,7554,1109,7075,86716,0.9184118271137968,0.08158817288620324,0.9773106816840572,0.9457749771518442,0.0006275388412905951,42171.56473391581,1.9405612920307123,2.5892337650876156,1.645521778983187,1962,5079,6,0,0,17343200,7554,42
TFSM-DPC-2024,TFSM-DPC-2024,695,1144,5156,1468,6941,81447,0.914778935995187,0.085221064004813,0.9718411939977988,0.9457516379556459,0.0006706170042584982,57801.396431342124,2.5740884406516678,3.3586056573910534,1.836536654766059,1199,4972,7,0,0,16294000,5156,42
DST-WOA-2024,DST-WOA-2024,795,1404,5845,1509,7641,89717,0.9148321945673619,0.08516780543263813,0.9784833568887372,0.9533053639912126,0.0006089321708852398,56168.34901625321,1.995038494439692,5.222526375819791,1.4122033237487206,1006,4494,10,0,0,17950000,5845,42
TRAIL (ours),TRAIL (ours),943,1055,8537,1105,5217,85824,0.939212807606264,0.06078719239373598,0.9905343208406218,0.9752299122362289,0.0006199683700478186,37768.302682441135,2.160829331146773,2.351613269113302,1.2652375103899165,2282,1547,10,0,0,17164800,8537,42
SHEER-2025,SHEER-2025,1410,1423,8696,1428,6395,88782,0.9279696334842649,0.07203036651573513,0.9796933982303033,0.955552079898575,0.0006065937202159948,37896.504139834404,1.9788408463661453,2.519553325009857,1.0,2307,3431,9,0,0,17756400,8696,43
ACTAR-2024,ACTAR-2024,876,999,3900,1066,7490,87474,0.9143745570112262,0.08562544298877384,0.9677060412082417,0.9398637159811274,0.000624828450604125,82034.8717948718,2.962051282051282,3.843640933140925,1.642878575715143,963,6085,2,0,0,17494800,3900,43
TFSM-DPC-2024,TFSM-DPC-2024,631,1171,5367,1507,6504,80831,0.9195358216525837,0.08046417834741626,0.9749889003995856,0.9474030722708737,0.0006709161404518788,55395.565492826536,2.553195453698528,3.291776798282369,1.832470031078881,1233,4767,7,0,0,16167400,5367,43
DST-WOA-2024,DST-WOA-2024,788,1572,7417,1762,6410,88378,0.9274706374889679,0.07252936251103215,0.9881417138395472,0.9669871533203781,0.0006096718101574076,44205.473911284884,1.8305244708103006,4.210487169115993,1.4146618192465352,1307,2687,10,0,0,17683600,7417,43
TRAIL (ours),TRAIL (ours),946,1088,9906,1127,4626,85375,0.9458155197657394,0.05418448023426059,0.9927305601307757,0.9805984269165828,0.0006188703608320976,32606.097314758732,2.0242277407631737,2.076948421936026,1.2608205674373676,2611,1153,10,0,0,17077000,9906,43
SHEER-2025,SHEER-2025,1370,1382,5066,1383,7305,89882,0.9187267751051379,0.0812732248948621,0.9737336062099616,0.9430077208844242,0.0006050905639881954,65200.9474930912,2.64251875246743,3.533941496061517,1.0,1305,4614,4,0,0,17976400,5066,44
ACTAR-2024,ACTAR-2024,816,1001,5671,1095,5140,85350,0.9397773872290568,0.06022261277094321,0.9802643061962348,0.967103126814379,0.0006229980496462168,56575.55986598483,2.2038441192029623,3.1367014923398275,1.653933424760005,1341,3218,8,0,0,17070000,5671,44
TFSM-DPC-2024,TFSM-DPC-2024,645,1125,4817,1179,5836,79375,0.9264755905511811,0.07352440944881888,0.9801329906580182,0.9542747690558602,0.0006751665260028221,61066.223790741125,2.621133485571933,3.489914766146769,1.819592325160799,956,4408,7,0,0,15876200,4817,44
DST-WOA-2024,DST-WOA-2024,794,1458,5131,1182,6820,89177,0.9235228814604662,0.07647711853953376,0.9790910305134961,0.9552692246292506,0.0006068491344903406,64203.46910933541,2.118300526213214,5.704648216721887,1.3963111818060396,662,4129,8,0,0,17838200,5131,44
TRAIL (ours),TRAIL (ours),942,1070,8362,1125,4316,84984,0.949213969688412,0.050786030311588015,0.9932191203451183,0.9820992132539673,0.0006194186451744389,38587.89763214542,2.1993542214781154,2.2539566398006032,1.2807185005206525,2185,1019,10,0,0,16996800,8362,44
SHEER-2025,SHEER-2025,1382,1396,11459,1401,6449,88936,0.9274871817936494,0.07251281820635058,0.9763114187690182,0.9526410519121248,0.0006058705097538781,28793.786543328388,1.7250196352212235,2.119925697829527,1.0,3138,3687,8,0,0,17787200,11459,45
ACTAR-2024,ACTAR-2024,840,987,6607,1055,6810,86760,0.9215076071922544,0.07849239280774556,0.9704065040650407,0.9485901521447995,0.0006251255165346498,48403.20871802633,2.102769789617073,2.784959800386619,1.6638023764853034,1802,5525,5,0,0,17352000,6607,45
TFSM-DPC-2024,TFSM-DPC-2024,601,1106,12171,2494,5306,79655,0.9333877346054862,0.06661226539451381,0.986415419171744,0.9673921811964432,0.000671672420681082,24434.80404239586,1.6230383698956536,2.109949410383843,1.8381820871834187,3221,2514,9,0,0,15933800,12171,45
DST-WOA-2024,DST-WOA-2024,748,1337,9848,1881,6545,88544,0.9260819479580773,0.0739180520419227,0.983158331199161,0.9622771843796728,0.0006095435607542709,33305.848903330625,1.5994110479285133,3.429188667749794,1.4106513494067001,2070,3579,10,0,0,17716400,9848,45
TRAIL (ours),TRAIL (ours),980,1047,12020,1084,4467,85152,0.9475408680947013,0.05245913190529872,0.9927247939517878,0.9820098956242572,0.0006193457027081951,26850.249584026624,1.825207986688852,1.8735253136108934,1.2715374604945158,3335,1109,10,0,0,17036200,12020,45
SHEER-2025,SHEER-2025,1393,1404,3615,1403,8624,90346,0.9045447501826313,0.09545524981736875,0.9659699958395536,0.9317603926847255,0.0006114768351212038,90425.44951590594,3.383402489626556,4.545232826187184,1.0,870,5557,3,0,0,18069200,3615,46
ACTAR-2024,ACTAR-2024,876,959,5801,1692,6314,85641,0.9262736306208474,0.07372636937915256,0.97608632621932,0.9550328735269289,0.0006299252646608037,54698.84502671953,2.1804861230822272,3.153151960663597,1.641030166273778,1346,4169,8,0,0,17129200,5801,46
TFSM-DPC-2024,TFSM-DPC-2024,583,1071,6504,2979,6303,78896,0.9201100182518759,0.07988998174812412,0.973523617979695,0.9481188193986755,0.0006880439972801427,44645.141451414514,2.2058733087330875,2.814541450688891,1.864504842064662,1412,4888,7,0,0,15779200,6504,46
DST-WOA-2024,DST-WOA-2024,720,1591,6250,2068,7356,88002,0.9164109906593032,0.0835890093406968,0.9806314014334251,0.9521996260904566,0.0006197854959383044,51613.44,1.93536,4.667453333333337,1.4170572626044688,958,4919,7,0,0,17604600,6250,46
TRAIL (ours),TRAIL (ours),895,1031,6731,1130,5487,84906,0.935375591830966,0.06462440816903403,0.9894735516689961,0.9732075388979712,0.0006292317903494339,47195.95899569157,2.449116030307532,2.7610312536747093,1.3190042684999812,1690,1759,10,0,0,16986600,6731,46
