round,alive,chs,cum_delivered,cum_drop,cum_malicious_delay,cum_malicious_drop,cum_timely_rate
1,100,7,64,4,1,0,0.96875
2,100,4,115,4,1,0,0.9826086956521739
3,100,8,199,8,1,2,0.9899497487437185
4,100,10,271,10,1,2,0.992619926199262
5,100,6,331,24,1,14,0.9939577039274925
6,100,8,408,24,2,14,0.9779411764705882
7,100,4,472,26,2,14,0.9809322033898306
8,100,5,546,34,2,14,0.9835164835164835
9,100,2,590,34,2,14,0.9847457627118644
10,100,5,620,67,2,45,0.9854838709677419
11,100,1,654,69,2,45,0.9862385321100917
12,100,5,697,89,2,61,0.9870875179340028
13,100,3,756,89,2,61,0.9880952380952381
14,100,3,808,91,2,61,0.9888613861386139
15,100,1,808,114,2,80,0.9888613861386139
16,100,3,848,135,2,95,0.9893867924528302
17,100,3,887,135,2,95,0.9898534385569335
18,100,3,946,139,2,95,0.9904862579281184
19,100,6,1028,139,2,95,0.9912451361867705
20,100,9,1097,143,2,95,0.99179580674567
21,100,4,1144,145,2,95,0.9921328671328671
22,100,6,1212,156,2,98,0.9925742574257426
23,100,1,1234,160,2,98,0.9927066450567261
24,100,6,1295,168,2,98,0.993050193050193
25,100,4,1356,170,2,98,0.9933628318584071
26,100,1,1364,170,2,98,0.9934017595307918
27,100,3,1411,170,2,98,0.9936215450035436
28,100,2,1457,178,2,98,0.9938229238160604
29,100,3,1494,187,2,107,0.9939759036144579
30,100,6,1564,197,2,107,0.9942455242966752
31,100,6,1640,205,3,107,0.9841463414634146
32,100,5,1701,207,3,107,0.9847148736037625
33,100,2,1706,223,3,119,0.984759671746776
34,100,4,1774,223,3,119,0.9853438556933484
35,100,2,1814,229,4,119,0.9724366041896362
36,100,4,1872,233,4,119,0.9732905982905983
37,100,5,1918,239,4,119,0.9739311783107404
38,100,2,1953,239,4,119,0.9743983614951357
39,100,6,2022,250,4,128,0.9752720079129574
40,100,8,2080,252,4,128,0.9759615384615384
41,100,3,2132,256,4,128,0.9765478424015009
42,100,2,2145,278,4,150,0.9766899766899767
43,100,3,2201,284,4,150,0.9772830531576556
44,100,1,2236,284,4,150,0.9776386404293381
45,100,6,2304,292,4,150,0.9782986111111112
46,100,3,2355,294,4,150,0.9787685774946921
47,100,5,2408,309,4,161,0.979235880398671
48,100,5,2479,311,4,161,0.9798305768455022
49,100,3,2520,313,4,161,0.9801587301587301
50,100,5,2584,313,5,161,0.9775541795665634
51,100,5,2660,317,5,161,0.9781954887218045
52,100,4,2716,321,5,161,0.9786450662739322
53,100,4,2787,327,5,161,0.97918909221385
54,100,2,2822,327,5,161,0.9794472005669738
55,100,1,2838,327,5,161,0.9795630725863284
56,100,5,2896,331,5,161,0.9799723756906077
57,100,1,2913,331,5,161,0.9800892550635084
58,100,5,2979,335,5,161,0.9805303793219201
59,100,6,3049,337,5,161,0.9809773696293866
60,100,5,3104,354,5,176,0.9813144329896907
61,100,1,3133,356,5,176,0.981487392275774
62,100,5,3192,362,5,182,0.981829573934837
63,100,4,3259,370,5,182,0.9822031297944155
64,100,4,3305,382,5,190,0.9824508320726173
65,100,3,3345,384,6,190,0.97847533632287
66,100,4,3387,401,6,203,0.978742249778565
67,100,2,3401,401,6,203,0.9788297559541311
68,100,6,3458,403,6,203,0.9791787160208213
69,100,6,3513,403,6,203,0.9795046968403074
70,100,8,3577,409,6,203,0.9798714006150405
71,100,1,3598,409,6,203,0.9799888827126181
72,100,6,3672,413,6,203,0.9803921568627451
73,100,4,3730,417,6,203,0.9806970509383378
74,100,4,3785,417,6,203,0.9809775429326288
75,100,4,3838,425,6,203,0.9812402292860865
76,100,5,3909,431,6,203,0.9815809669992326
77,100,3,3939,431,7,203,0.9786747905559787
78,100,5,3984,458,7,230,0.9789156626506024
79,100,5,4028,476,7,244,0.9791459781529295
80,100,2,4080,482,7,244,0.9794117647058823
