round,alive,chs,cum_delivered,cum_drop,cum_malicious_delay,cum_malicious_drop,cum_timely_rate
1,100,4,47,16,0,0,1.0
2,100,5,98,28,1,0,0.9285714285714286
3,100,7,152,46,3,6,0.9407894736842105
4,100,5,212,52,4,6,0.8726415094339622
5,100,6,266,93,4,33,0.8984962406015038
6,100,4,307,116,6,40,0.8045602605863192
7,100,3,345,141,6,61,0.8260869565217391
8,100,6,394,177,7,83,0.8223350253807107
9,100,3,401,210,7,110,0.8254364089775561
10,100,3,442,228,7,118,0.8416289592760181
11,100,3,480,256,7,134,0.8541666666666666
12,100,3,521,260,8,134,0.8445297504798465
13,100,4,556,276,8,144,0.85431654676259
14,100,3,582,299,8,155,0.8608247422680413
15,100,3,630,309,10,155,0.8269841269841269
16,100,3,665,323,10,155,0.8360902255639098
17,100,3,688,340,11,170,0.8313953488372093
18,100,4,721,387,11,209,0.8391123439667129
19,100,3,769,395,11,209,0.8491547464239272
20,100,4,810,422,12,226,0.8246913580246914
21,100,3,842,453,12,245,0.831353919239905
22,100,3,860,491,13,269,0.8220930232558139
23,100,3,903,497,14,269,0.8194905869324474
24,100,3,912,497,15,269,0.8135964912280702
25,100,4,961,521,15,283,0.8231009365244537
26,100,3,1000,531,16,283,0.815
27,100,3,1048,540,17,288,0.8043893129770993
28,100,4,1090,552,17,288,0.8119266055045872
29,100,3,1116,568,17,298,0.8163082437275986
30,100,4,1141,598,18,308,0.810692375109553
31,100,4,1182,615,19,317,0.7978003384094755
32,100,3,1214,652,19,338,0.8031301482701813
33,100,7,1248,687,20,365,0.7996794871794872
34,100,3,1288,697,20,365,0.8059006211180124
35,100,3,1319,720,21,376,0.8036391205458681
36,100,3,1335,749,22,395,0.802247191011236
37,100,3,1384,753,22,395,0.8092485549132948
38,100,3,1427,776,22,406,0.8149964961457603
39,100,4,1460,803,22,425,0.8191780821917808
40,100,3,1491,833,22,439,0.8229376257545271
41,100,6,1555,853,23,447,0.8263665594855305
42,100,3,1593,859,24,447,0.8261142498430634
43,100,4,1641,889,25,465,0.8220597196831201
44,100,3,1684,891,25,465,0.8266033254156769
45,100,3,1723,912,25,480,0.8305281485780616
46,100,4,1766,931,25,489,0.8346545866364666
47,100,5,1805,957,25,499,0.8382271468144045
48,100,7,1862,966,26,500,0.8356605800214822
49,100,3,1867,1005,26,533,0.8361006963042313
50,100,9,1906,1046,27,560,0.835781741867786
51,100,2,1952,1050,27,560,0.8396516393442623
52,100,3,2004,1064,27,560,0.843812375249501
53,100,3,2036,1096,27,580,0.8462671905697446
54,100,5,2058,1129,27,603,0.847910592808552
55,100,2,2075,1145,27,615,0.8491566265060241
56,100,2,2097,1169,27,631,0.8507391511683358
57,100,2,2122,1193,27,643,0.852497643732328
58,100,3,2153,1226,27,656,0.8546214584300975
59,100,2,2168,1259,27,677,0.8556273062730627
60,100,2,2211,1273,28,677,0.8516508367254636
61,100,2,2254,1277,29,677,0.8487133984028394
62,100,5,2306,1295,30,683,0.8473547267996531
63,100,2,2322,1322,30,698,0.8484065460809647
64,100,2,2363,1328,31,698,0.845535336436733
65,100,6,2402,1357,31,717,0.8480432972522898
66,100,2,2437,1365,31,717,0.850225687320476
67,100,4,2459,1410,31,750,0.851565677104514
68,100,3,2486,1431,31,769,0.8531777956556718
69,100,6,2535,1463,31,791,0.8560157790927022
70,100,5,2535,1534,31,856,0.8560157790927022
71,100,4,2574,1548,32,856,0.8531468531468531
72,100,2,2610,1564,33,856,0.8509578544061303
73,100,4,2668,1574,33,856,0.8541979010494752
74,100,5,2720,1592,33,864,0.856985294117647
75,100,5,2786,1604,34,864,0.8582196697774587
76,100,2,2818,1613,34,869,0.8598296664300923
77,100,2,2849,1625,34,869,0.8613548613548614
78,100,2,2884,1631,34,869,0.8630374479889042
79,100,2,2895,1655,35,889,0.8597582037996546
80,100,3,2935,1667,35,889,0.8616695059625213
81,100,3,2970,1686,35,898,0.8632996632996633
82,100,3,3005,1700,35,906,0.864891846921797
83,100,2,3038,1717,35,919,0.8663594470046083
84,100,2,3079,1719,35,919,0.8681390061708347
85,100,3,3122,1727,36,919,0.8625880845611787
86,100,4,3150,1749,36,927,0.8638095238095238
87,100,4,3177,1791,36,949,0.8649669499527857
88,100,3,3226,1805,36,949,0.8670179789212648
89,100,3,3252,1825,37,961,0.8646986469864698
90,100,6,3302,1841,37,973,0.8667474258025439
91,100,4,3326,1862,37,986,0.867708959711365
92,100,2,3368,1870,37,986,0.8693586698337292
93,100,3,3401,1895,37,999,0.870626286386357
94,100,2,3422,1913,38,1013,0.8652834599649328
95,100,3,3447,1928,38,1020,0.8662605163910647
96,100,2,3495,1936,38,1020,0.8680972818311874
97,100,5,3557,1948,38,1020,0.8703964014619061
98,100,8,3603,1996,40,1054,0.8676103247293921
99,100,4,3661,2010,40,1054,0.8697077301283802
100,100,3,3704,2016,41,1054,0.8677105831533477
101,100,2,3723,2024,41,1054,0.8683857104485629
102,100,3,3758,2032,41,1054,0.8696114954763172
103,100,2,3794,2036,41,1054,0.8708487084870848
104,100,2,3844,2040,42,1054,0.8631633714880333
105,100,7,3910,2066,44,1064,0.859846547314578
106,100,3,3927,2090,44,1080,0.8604532722179781
107,100,2,3965,2090,44,1080,0.8617906683480454
108,100,5,4007,2116,44,1100,0.8632393311704517
109,100,2,4051,2120,44,1100,0.8647247593186868
110,100,2,4078,2142,44,1112,0.8656204021579206
111,100,2,4122,2146,44,1112,0.8670548277535177
112,100,5,4161,2174,44,1124,0.8683008892093247
113,100,4,4186,2210,44,1148,0.8690874343048256
114,100,3,4234,2226,44,1148,0.8705715635333019
115,100,2,4278,2238,44,1148,0.8719027582982702
116,100,2,4283,2270,44,1178,0.8720522997898669
117,100,2,4297,2285,44,1187,0.8724691645333954
118,100,2,4319,2295,44,1187,0.8731187774947905
119,100,4,4365,2307,44,1187,0.8744558991981672
120,100,2,4398,2311,44,1187,0.8753979081400637
121,100,2,4426,2325,44,1193,0.8761861726163579
122,100,3,4479,2333,44,1193,0.8776512614422862
123,100,3,4523,2343,44,1193,0.8788414768958656
124,100,2,4567,2347,44,1193,0.8800087584847821
125,100,2,4610,2353,44,1193,0.8811279826464208
126,100,4,4655,2363,46,1193,0.877765843179377
127,100,5,4714,2371,46,1193,0.8792957148918116
128,100,5,4759,2397,47,1209,0.8783357848287455
129,100,4,4800,2431,47,1225,0.879375
130,100,3,4820,2472,48,1254,0.8757261410788382
131,100,4,4868,2484,48,1254,0.8769515201314708
132,100,2,4912,2492,48,1254,0.8780537459283387
133,100,2,4952,2500,48,1254,0.8790387722132472
134,100,2,4991,2506,48,1254,0.8799839711480665
135,100,3,5020,2544,48,1272,0.8806772908366534
136,100,2,5047,2570,48,1288,0.8813156330493362
137,100,2,5076,2588,48,1300,0.8819936958234831
138,100,3,5114,2615,48,1317,0.8828705514274541
139,100,2,5156,2617,48,1317,0.8838246702870443
140,100,2,5192,2623,48,1317,0.8846302003081664
141,100,3,5223,2625,48,1317,0.8853149530920926
142,100,2,5261,2631,48,1317,0.8861433187606919
143,100,5,5296,2651,48,1323,0.8868957703927492
144,100,3,5334,2662,48,1330,0.8877015373078365
145,100,2,5380,2668,48,1330,0.8886617100371748
146,100,2,5422,2676,48,1330,0.8895241608262634
147,100,6,5464,2692,49,1336,0.8894582723279648
148,100,2,5495,2696,49,1336,0.8900818926296633
149,100,2,5531,2704,49,1336,0.890797324172844
150,100,2,5555,2710,50,1336,0.8889288928892889
