round,alive,chs,cum_delivered,cum_drop,cum_malicious_delay,cum_malicious_drop,cum_timely_rate
1,100,7,75,18,2,0,0.88
2,100,9,138,44,3,8,0.9130434782608695
3,100,6,205,66,4,14,0.848780487804878
4,100,5,248,103,6,41,0.7782258064516129
5,100,7,322,117,7,41,0.8043478260869565
6,100,5,369,153,7,63,0.8292682926829268
7,100,3,410,183,8,75,0.8121951219512196
8,100,5,455,223,9,103,0.7912087912087912
9,100,5,509,246,9,110,0.8133595284872298
10,100,7,566,297,10,145,0.8109540636042403
11,100,3,584,326,11,164,0.785958904109589
12,100,3,607,352,11,182,0.7940691927512356
13,100,1,607,368,11,196,0.7940691927512356
14,100,2,644,376,11,196,0.8059006211180124
15,100,3,692,392,11,196,0.819364161849711
16,100,5,754,413,11,209,0.8342175066312998
17,100,4,807,443,12,225,0.8190830235439901
18,100,2,834,449,12,225,0.8249400479616307
19,100,4,878,467,12,235,0.8337129840546698
20,100,4,923,473,12,235,0.8418201516793066
21,100,3,936,507,12,263,0.844017094017094
22,100,4,948,555,12,301,0.8459915611814346
23,100,7,989,580,12,308,0.8523761375126391
24,100,1,1011,582,13,308,0.8338278931750742
25,100,3,1017,616,14,332,0.8289085545722714
26,100,5,1068,644,15,340,0.8286516853932584
27,100,6,1119,668,15,348,0.8364611260053619
28,100,2,1146,682,15,348,0.8403141361256544
29,100,5,1182,714,16,368,0.8426395939086294
30,100,3,1193,762,16,404,0.8440905280804694
31,100,4,1244,766,17,404,0.8319935691318328
32,100,6,1303,795,17,413,0.8396009209516501
33,100,2,1338,807,17,413,0.843796711509716
34,100,1,1360,813,18,413,0.8301470588235295
35,100,6,1407,854,18,436,0.835820895522388
36,100,8,1480,879,19,451,0.8324324324324325
37,100,3,1515,899,20,455,0.8237623762376237
38,100,7,1559,957,20,483,0.8287363694676074
39,100,1,1575,959,21,483,0.8203174603174603
40,100,6,1653,979,23,483,0.8148820326678766
41,100,5,1683,1002,25,498,0.8080808080808081
42,100,5,1749,1014,26,498,0.8050314465408805
43,100,3,1780,1026,26,498,0.8084269662921348
44,100,1,1807,1036,26,498,0.811289429994466
45,100,4,1855,1064,27,512,0.8059299191374663
46,100,4,1889,1113,29,541,0.79142403388036
47,100,5,1937,1131,29,553,0.7965926690758905
48,100,1,1944,1133,29,553,0.7973251028806584
