round,alive,chs,cum_delivered,cum_drop,cum_malicious_delay,cum_malicious_drop,cum_timely_rate
1,100,7,55,46,2,12,0.509090909090909
2,100,7,119,86,3,22,0.6134453781512605
3,100,5,178,117,5,39,0.6235955056179775
4,100,7,228,157,7,65,0.5877192982456141
5,100,7,248,235,10,125,0.5403225806451613
6,100,4,269,283,10,161,0.5762081784386617
7,100,4,299,308,10,168,0.6187290969899666
8,100,3,329,342,10,180,0.6534954407294833
9,100,3,365,372,10,198,0.6876712328767123
10,100,3,404,395,10,213,0.7178217821782178
11,100,3,414,440,10,250,0.7246376811594203
12,100,6,489,466,10,250,0.7668711656441718
13,100,2,528,472,10,250,0.7840909090909091
14,100,3,568,495,10,265,0.7992957746478874
15,100,2,586,525,10,279,0.8054607508532423
16,100,4,610,589,10,331,0.8131147540983606
17,100,3,644,622,10,350,0.8229813664596274
18,100,3,689,630,10,350,0.8345428156748912
19,100,3,720,656,11,364,0.8166666666666667
20,100,6,750,722,13,404,0.7973333333333333
21,100,5,802,763,14,423,0.7892768079800498
22,100,1,817,765,14,423,0.7931456548347613
23,100,2,827,789,14,439,0.7956469165659008
24,100,1,841,791,15,439,0.7824019024970273
25,100,4,888,824,15,450,0.793918918918919
26,100,1,898,830,16,450,0.7850779510022272
27,100,2,941,836,16,450,0.7948990435706695
28,100,4,994,880,18,468,0.7696177062374245
29,100,5,1055,912,19,478,0.7706161137440758
30,100,4,1105,926,20,478,0.7719457013574661
31,100,1,1105,947,20,495,0.7719457013574661
32,100,3,1154,961,20,495,0.7816291161178509
33,100,1,1154,972,20,502,0.7816291161178509
34,100,3,1180,1010,20,524,0.7864406779661017
35,100,4,1213,1040,20,542,0.7922506183017313
36,100,3,1264,1050,21,542,0.7840189873417721
37,100,4,1315,1087,22,557,0.7817490494296578
38,100,3,1349,1114,22,570,0.787249814677539
39,100,4,1399,1146,24,576,0.7719799857040743
40,100,4,1442,1179,25,589,0.7725381414701803
41,100,3,1481,1193,25,589,0.7785280216070223
42,100,2,1496,1225,25,601,0.7807486631016043
43,100,3,1523,1254,26,618,0.7728168089297439
44,100,3,1537,1310,26,660,0.774886141834743
45,100,4,1576,1326,27,660,0.7728426395939086
46,100,2,1580,1348,28,678,0.7708860759493671
47,100,4,1606,1402,28,714,0.7745952677459527
48,100,2,1644,1412,28,714,0.7798053527980535
49,100,2,1660,1441,28,731,0.7819277108433735
50,100,2,1660,1488,28,772,0.7819277108433735
51,100,3,1695,1523,28,795,0.7864306784660767
52,100,3,1731,1533,29,795,0.7879838243789717
53,100,3,1794,1547,29,795,0.7954292084726867
54,100,1,1816,1555,30,795,0.7857929515418502
55,100,3,1860,1563,32,795,0.7752688172043011
56,100,2,1883,1596,32,812,0.7780138077535848
57,100,3,1927,1602,32,812,0.7830825116761806
58,100,3,1952,1634,33,828,0.7766393442622951
59,100,3,2003,1644,34,828,0.7753369945082377
60,100,3,2003,1682,34,860,0.7753369945082377
61,100,2,2023,1708,35,876,0.7676717745921898
62,100,4,2057,1742,36,894,0.766164316966456
63,100,5,2084,1804,37,942,0.7591170825335892
64,100,2,2115,1814,38,942,0.7555555555555555
65,100,3,2149,1830,39,954,0.7533736621684505
66,100,4,2188,1858,40,964,0.7527422303473492
67,100,3,2246,1882,40,964,0.7591273374888691
68,100,2,2286,1888,40,964,0.76334208223972
69,100,3,2324,1915,41,985,0.7598967297762479
70,100,4,2380,1933,41,985,0.7655462184873949
71,100,5,2426,1958,41,1000,0.7699917559769167
72,100,3,2455,1992,41,1020,0.7727087576374746
73,100,4,2489,2031,41,1043,0.7758135797509039
74,100,4,2519,2060,41,1060,0.778483525208416
75,100,2,2546,2079,41,1075,0.7808326787117046
76,100,5,2599,2124,41,1100,0.7853020392458638
77,100,5,2661,2155,43,1109,0.7816610296880872
78,100,1,2684,2157,43,1109,0.783532041728763
79,100,2,2716,2169,44,1109,0.7812960235640648
80,100,3,2733,2207,45,1139,0.7764361507500914
81,100,1,2752,2211,46,1139,0.7710755813953488
82,100,5,2800,2242,48,1160,0.7621428571428571
83,100,1,2824,2248,48,1160,0.7641643059490085
84,100,2,2854,2262,48,1160,0.7666433076384023
85,100,1,2854,2273,48,1167,0.7666433076384023
86,100,4,2912,2281,49,1167,0.7664835164835165
87,100,2,2932,2302,49,1180,0.7680763983628922
88,100,4,2960,2345,50,1207,0.764527027027027
89,100,3,2988,2381,51,1225,0.7603748326639893
90,100,3,3011,2415,52,1243,0.758884091663899
91,100,4,3057,2429,54,1243,0.7546614327772326
92,100,2,3090,2445,55,1243,0.7514563106796116
93,100,2,3114,2469,55,1257,0.7533718689788054
94,100,2,3149,2483,55,1257,0.7561130517624642
95,100,2,3168,2504,56,1270,0.7515782828282829
96,100,2,3198,2516,56,1270,0.7539086929330832
97,100,4,3257,2528,56,1270,0.7583665950260976
98,100,3,3292,2554,56,1286,0.7609356014580801
99,100,4,3344,2566,57,1286,0.7598684210526315
100,100,3,3366,2592,57,1294,0.761437908496732
101,100,3,3389,2648,57,1338,0.7630569489524933
102,100,3,3425,2685,57,1357,0.7655474452554745
103,100,3,3476,2703,57,1357,0.7689873417721519
104,100,1,3494,2707,58,1357,0.7650257584430452
105,100,3,3547,2719,59,1357,0.7614885819001973
106,100,3,3588,2735,59,1357,0.7642140468227425
107,100,4,3628,2762,59,1364,0.7668136714443219
108,100,3,3652,2799,59,1391,0.7683461117196057
109,100,2,3652,2847,59,1429,0.7683461117196057
