round,alive,chs,cum_delivered,cum_drop,cum_malicious_delay,cum_malicious_drop,cum_timely_rate
1,100,7,50,68,0,48,1.0
2,100,7,71,112,1,80,0.9436619718309859
3,100,6,91,120,1,80,0.9560439560439561
4,100,6,138,127,2,85,0.9347826086956522
5,100,6,177,145,2,95,0.9491525423728814
6,100,6,213,179,3,115,0.9436619718309859
7,100,6,253,207,3,125,0.9525691699604744
8,100,6,276,251,4,153,0.9528985507246377
9,100,6,323,267,5,153,0.9566563467492261
10,100,6,370,279,5,153,0.9621621621621622
11,100,6,416,293,5,153,0.9663461538461539
12,100,6,466,299,5,153,0.9699570815450643
13,100,6,516,305,5,153,0.9728682170542635
14,100,6,561,321,5,153,0.9750445632798574
15,100,6,608,339,6,153,0.9720394736842105
16,100,6,655,351,6,153,0.9740458015267176
17,100,6,699,369,6,153,0.9756795422031473
18,100,6,746,381,6,153,0.9772117962466488
19,100,6,793,393,6,153,0.978562421185372
20,100,6,837,411,6,153,0.9796893667861409
21,100,6,886,419,6,153,0.9808126410835214
22,100,6,934,429,6,153,0.9817987152034261
23,100,6,998,455,6,153,0.9829659318637275
24,100,6,1041,475,6,153,0.983669548511047
25,100,6,1087,489,6,153,0.984360625574977
26,100,6,1133,503,6,153,0.9849955869373345
27,100,6,1174,527,6,153,0.985519591141397
28,100,6,1223,535,6,153,0.9860997547015535
29,100,6,1263,559,6,161,0.9865399841646872
30,100,6,1310,592,6,180,0.9870229007633587
31,100,6,1357,604,6,180,0.9874723655121592
32,100,6,1399,626,6,180,0.9878484631879915
33,100,6,1446,638,6,180,0.9882434301521439
34,100,6,1493,650,6,180,0.9886135298057602
35,100,6,1540,662,6,180,0.9889610389610389
36,100,6,1587,674,6,180,0.9892879647132955
37,100,6,1657,688,6,180,0.9897404948702474
38,100,6,1703,702,6,180,0.9900176159718145
39,100,6,1748,718,6,180,0.9902745995423341
40,100,6,1795,730,6,180,0.9905292479108635
41,100,6,1843,740,6,180,0.9907759088442757
42,100,6,1889,754,6,180,0.9910005293806247
43,100,6,1931,775,6,187,0.9911962713619886
44,100,6,1977,813,6,203,0.9914011127971675
45,100,6,2025,828,6,208,0.9916049382716049
46,100,6,2073,838,6,208,0.9917993246502653
47,100,6,2119,852,6,208,0.9919773478055687
48,100,6,2166,864,6,208,0.9921514312096029
49,100,6,2213,876,6,208,0.9923181201988251
50,100,6,2257,894,6,208,0.9924678777137793
51,100,6,2325,912,6,208,0.9926881720430107
52,100,6,2375,918,6,208,0.9928421052631579
53,100,6,2422,930,6,208,0.9929810074318745
54,100,6,2468,944,6,208,0.9931118314424635
55,100,6,2514,958,6,208,0.9932378679395386
56,100,6,2562,968,6,208,0.9933645589383294
57,100,6,2612,974,6,208,0.9934915773353752
58,100,6,2659,986,6,208,0.9936066190297104
59,100,6,2705,1005,6,215,0.9937153419593345
60,100,6,2752,1042,6,238,0.9938226744186046
61,100,6,2798,1056,6,238,0.9939242315939957
62,100,6,2848,1062,6,238,0.9940308988764045
63,100,6,2896,1072,6,238,0.9941298342541437
64,100,6,2946,1078,6,238,0.9942294636795656
65,100,6,3013,1098,6,238,0.9943577829405907
66,100,6,3063,1104,6,238,0.9944498857329416
67,100,6,3108,1120,6,238,0.9945302445302445
68,100,6,3156,1130,6,238,0.9946134347275032
69,100,6,3204,1140,6,238,0.9946941323345818
70,100,6,3252,1150,6,238,0.9947724477244773
71,100,6,3297,1166,6,238,0.9948437973915681
72,100,6,3344,1178,6,238,0.9949162679425837
73,100,6,3392,1188,6,238,0.9949882075471698
74,100,6,3437,1230,6,260,0.9950538260110562
75,100,6,3486,1258,6,272,0.9951233505450373
76,100,6,3536,1264,6,272,0.9951923076923077
77,100,6,3580,1282,6,272,0.9952513966480447
78,100,6,3626,1296,6,272,0.995311638168781
79,100,6,3690,1322,6,272,0.9953929539295393
80,100,6,3735,1338,6,272,0.9954484605087015
81,100,6,3782,1350,6,272,0.9955050237969328
82,100,6,3826,1368,6,272,0.9955567171981181
83,100,6,3874,1378,6,272,0.995611770779556
84,100,6,3924,1384,6,272,0.9956676860346585
85,100,6,3968,1402,6,272,0.9957157258064516
86,100,6,4013,1418,6,272,0.9957637677547969
87,100,6,4062,1426,6,272,0.9958148695224027
