algo_tag,algo,FND,HND,LND,drop_p,total_p,pdr,timely_transfer_rate,energy_rate,energy_per_delivered,throughput_bits_per_round,avg_ch_per_round,avg_cluster_size,avg_hops_to_bs,malicious_delay,malicious_drop,blacklisted_malicious,blacklisted_normal,control_overhead_bits,rounds_run,seed,ratio,drop_rate
SHEER-2025,SHEER-2025,807,2143,5647,10342,87232,0.8940086498452456,0.984879402054292,0.9637153936816083,0.0011455326104074842,61789.97697892686,1.7184345670267398,7.127550377922259,1.014237894350697,745,2714,10,0,18843600,5647,42,0.1,0.10599135015475435
ACTAR-2024,ACTAR-2024,1271,1883,5776,11735,88853,0.8833359844116594,0.9843674383532351,0.962989781423229,0.001124940895544418,61532.54847645429,1.76696675900277,6.579457134412984,1.0,926,2924,10,0,19316600,5776,42,0.1,0.11666401558834055
TFSM-DPC-2024,TFSM-DPC-2024,141,1957,8255,10184,78154,0.8847155244628586,0.9911712772218952,0.9729355954906677,0.0012787421650833522,37869.897032101755,1.919442761962447,3.466832799746165,1.0,782,1399,10,0,16874800,8255,42,0.1,0.11528447553714144
DST-WOA-2024,DST-WOA-2024,983,1869,7246,9701,89675,0.9023808565448398,0.9865625871201561,0.969240467706073,0.0011145295263374562,49503.17416505658,1.4345845983991168,5.831390060854593,1.0,1070,2246,10,0,19248600,7246,42,0.1,0.09761914345516019
TRAIL (ours),TRAIL (ours),1346,1961,6926,11193,87125,0.8861551292743953,0.9840114777618364,0.9562382984786102,0.0011471761230418803,50317.64366156512,1.6387525267109442,5.3554291627133095,1.0582266857962697,1333,2756,10,0,18874800,6926,42,0.1,0.11384487072560467
SHEER-2025,SHEER-2025,1070,2223,6923,23366,84159,0.7826923971169496,0.9642937772549579,0.9238928609842486,0.001187689961953408,48625.74028600318,1.5042611584573162,7.107374715980087,1.0146151926710156,1204,6318,20,0,19908400,6923,42,0.2,0.21730760288305045
ACTAR-2024,ACTAR-2024,1335,1991,10899,20314,81208,0.7999054392151455,0.9645724559156733,0.928565212058324,0.0012305396144719856,29803.83521423984,1.341499220111937,3.9971404733240696,1.0,2433,5712,20,0,18944000,10899,42,0.2,0.20009456078485452
TFSM-DPC-2024,TFSM-DPC-2024,138,2552,7759,25208,78422,0.7567499758757117,0.9630078294356176,0.9277544606606326,0.001274348712084592,40428.92125273876,1.9015337027967523,5.342626074788759,1.0,704,5162,20,0,18813400,7759,42,0.2,0.24325002412428834
DST-WOA-2024,DST-WOA-2024,1186,2343,8610,23056,83930,0.7844951675920214,0.9632908376027642,0.923215070220815,0.001190586276761723,38991.86991869919,1.3207897793263648,6.1539693601017635,1.0,1456,6428,20,0,19838800,8610,42,0.2,0.2155048324079786
TRAIL (ours),TRAIL (ours),1365,2052,11056,19280,81293,0.8082984498821751,0.9682875524337888,0.927507914856001,0.0012293376247872428,29411.36034732272,1.3250723589001447,3.9616601264349076,1.0514189413602648,2560,4901,20,0,18774600,11056,42,0.2,0.19170155011782486
